id,type_de_bien,année,nb_de_pieces,surface,ville,prix
257,maison,8,4,190, CASTETS EN DORTHE,315000
258,maison,3,2,68, RAUZAN,38500
259,appartement,3,2,61, MERIGNAC,243800
260,maison,2006,5,100, GRAYAN ET L HOPITAL,223700
261,appartement,1975,2,28, ARCACHON,265000
262,maison,3,2,63, CAZAUX                          ,227000
263,maison,2,1,50, ETAULIERS,77000
264,maison,2,1,50, ETAULIERS,77000
265,maison,1900,10,211, BOURG,575000
266,appartement,3,2,89, BORDEAUX,295000
267,maison,5,3,93, ST SEURIN SUR L ISLE,134500
268,appartement,2005,3,62, SOULAC SUR MER,279500
269,maison,4,2,97, AMBARES ET LAGRAVE,250000
270,maison,4,3,105, CASTILLON LA BATAILLE,75000
271,maison,18,15,530, LIBOURNE,729000
272,maison,11,5,357, ST EMILION,895000
273,maison,1800,5,203, ST LAURENT MEDOC,360000
274,maison,1875,5,200, JAU DIGNAC ET LOIRAC,315600
275,maison,7,4,146, TARGON,296500
276,maison,1966,4,120, PESSAC,499500
277,appartement,1,1,30, BORDEAUX,178000
278,maison,1910,5,170, LA REOLE,217000
279,appartement,2020,3,58, PAREMPUYRE,190000
280,appartement,1999,3,54, BEGLES,212000
281,maison,4,3,124, MIOS,325000
282,appartement,3,2,61, BORDEAUX,360000
283,appartement,6,3,101, BORDEAUX,599500
284,maison,5,4,117, GRADIGNAN,433500
285,maison,6,3,180, LOUPES,630000
286,appartement,4,3,83, BORDEAUX,255000
287,maison,5,4,152, BORDEAUX,735000
288,maison,4,2,45, LANTON,323000
289,appartement,3,2,61, MARCHEPRIME,202500
290,maison,5,4,135, BELIN BELIET,348000
291,maison,1,1,58, BIGANOS,291500
292,maison,8,5,173, ST LOUBES,500000
293,appartement,3,2,70, TALENCE,339000
294,appartement,2,1,47, TALENCE,204500
295,maison,3,1,66, MERIGNAC,381000
296,maison,2,1,50, COUTRAS,76000
297,appartement,2007,3,68, BORDEAUX,261250
298,maison,2005,5,128, LA TESTE DE BUCH,915200
299,maison,5,4,129, BRUGES,499000
300,maison,1940,7,120, ARCACHON,499000
301,maison,1900,9,220, BORDEAUX,1150000
302,maison,1900,7,255, BORDEAUX,1345000
303,maison,2017,4,95, CAZAUX                          ,434000
304,maison,6,2,102, LA REOLE,98000
305,maison,1940,5,156, ARCACHON,585000
306,maison,1970,6,246, ST ROMAIN LA VIRVEE,375000
307,maison,1900,5,100, CASTILLON LA BATAILLE,212000
308,maison,2005,7,140, LACANAU,429000
309,appartement,1900,3,78, BORDEAUX,396550
310,maison,2006,8,173, HOURTIN,420000
311,appartement,2010,3,55, BRUGES,223700
312,maison,2005,6,171, MARCHEPRIME,600000
313,maison,1984,6,141, GRADIGNAN,511000
314,maison,1950,6,185, LE BOUSCAT,1195000
315,maison,1975,6,133, POMPIGNAC,399000
316,appartement,2019,3,66, MERIGNAC,289000
317,maison,1990,4,75, LANTON,299600
318,maison,1910,4,96, LA TESTE DE BUCH,780000
319,maison,7,4,198, MIOS,599500
320,appartement,1961,3,66, ARCACHON,383000
321,maison,5,3,165, ST LOUBES,490000
322,maison,5,4,132, LACANAU OCEAN                   ,748000
323,maison,5,3,165, PRECHAC,299000
