id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1186,maison,6,3,784, LANGON,913500
1187,maison,6,4,167, LEGE CAP FERRET,651000
1188,maison,7,5,250, COUTRAS,270500
1189,appartement,1995,1,26, LE BOUSCAT,129600
1190,maison,1978,6,117, ST LOUBES,312000
1191,maison,1950,4,165, LE BOUSCAT,661000
1192,maison,4,2,72, AUDENGE,275000
1193,maison,1900,5,130, BORDEAUX,772000
1194,maison,2006,5,135, SADIRAC,462000
1195,maison,5,4,108, GRADIGNAN,417500
1196,maison,2018,5,155, CANEJAN,824000
1197,appartement,3,2,95, BORDEAUX,486000
1198,appartement,3,2,66, BORDEAUX,370000
1199,maison,1975,4,116, LESPARRE MEDOC,156200
1200,maison,11,7,380, LIBOURNE,630000
1201,maison,8,4,230, ANDERNOS LES BAINS,579000
1202,appartement,1,1,21, ARCACHON,165500
1203,appartement,3,2,72, ARCACHON,550000
1204,maison,5,3,324, MARCHEPRIME,748800
1205,appartement,1,1,31, LE BOUSCAT,195000
1206,appartement,3,2,62, BORDEAUX,318000
1207,maison,4,3,95, CAZAUX                          ,444000
1208,maison,3,2,85, ARES,360000
1209,appartement,2008,2,45, BEGLES,159990
1210,maison,1987,5,215, ARCACHON,1780000
1211,appartement,2,1,52, LE BOUSCAT,260000
1212,appartement,1900,3,60, BORDEAUX,425000
1213,maison,1860,9,235, BORDEAUX,1100000
1214,appartement,2011,3,74, BORDEAUX,395000
1215,maison,1990,7,118, POMPIGNAC,432000
1216,appartement,5,3,84, MERIGNAC,217500
1217,maison,5,7,166, ST CIERS SUR GIRONDE,144000
1218,appartement,1900,3,80, BORDEAUX,470000
1219,maison,10,8,240, BAZAS,280000
1220,maison,1900,5,156, GUJAN MESTRAS,485000
1221,maison,1900,5,156, GUJAN MESTRAS,485000
1222,maison,4,3,90, BORDEAUX,369250
1223,maison,2010,4,78, ST VIVIEN DE MEDOC,156200
1224,maison,1880,6,210, LA REOLE,299000
1225,appartement,2021,2,51, BRUGES,211000
1226,maison,3,2,150, BOURG,207500
1227,maison,6,4,250, BORDEAUX,875700
1228,maison,5,4,110, ABZAC,234000
1229,maison,8,4,183, ST SULPICE ET CAMEYRAC,458000
1230,maison,12,6,500, MONTUSSAN,1100000
1231,appartement,2,1,45, LORMONT,139000
1232,maison,4,3,150, BASSENS,451500
1233,appartement,5,3,137, BORDEAUX,645000
1234,appartement,3,2,98, BORDEAUX,595000
1235,maison,1900,5,92, LE TAILLAN MEDOC,249700
1236,maison,1972,5,97, GRADIGNAN,360400
1237,appartement,1958,3,82, BORDEAUX,335000
1238,maison,3,2,113, PESSAC,475000
1239,maison,6,4,225, BORDEAUX,1008000
1240,maison,1900,8,180, BAZAS,285000
1241,appartement,1700,5,143, BORDEAUX,649000
1242,maison,5,3,131, VILLENEUVE,162750
1243,maison,1876,3,99, BEGADAN,172200
1244,maison,5,4,230, BEGLES,730000
1245,maison,1990,3,58, HOURTIN,223000
1246,appartement,1900,4,128, BORDEAUX,599000
1247,maison,4,3,160, MARANSIN,520000
1248,maison,1928,5,140, PYLA SUR MER,1280000
1249,appartement,4,3,120, BORDEAUX,441000
1250,maison,1940,5,156, ARCACHON,585000
1251,appartement,2015,4,82, BORDEAUX,370000
1252,appartement,3,2,47, CARCANS,139900
1253,appartement,2,1,29, CARCANS,89900
1254,appartement,2,1,26, CARCANS,89900
1255,appartement,1,1,24, CARCANS,79900
1256,appartement,3,2,49, CARCANS,139900
1257,maison,7,3,150, BAZAS,410000
1258,maison,6,5,158, LA TESTE DE BUCH,717500
1259,maison,20,15,960, BORDEAUX,1050000
1260,maison,1985,6,158, BORDEAUX,472000
1261,appartement,2011,3,61, SOULAC SUR MER,148400
1262,appartement,3,2,63, BORDEAUX,339000
1263,maison,7,5,260, FLOIRAC,892500
1264,maison,1900,12,475, GALGON,1000000
1265,appartement,2017,5,109, BORDEAUX,550000
1266,appartement,2019,2,40, ST MEDARD EN JALLES,187400
1267,appartement,2019,2,40, BRUGES,184000
1268,appartement,2019,2,45, VILLENAVE D ORNON,185900
1269,appartement,3,2,59, TRESSES,227000
1270,appartement,2,1,42, TRESSES,150000
1271,maison,1900,3,100, BORDEAUX,550000
1272,maison,6,4,127, GRADIGNAN,349500
1273,maison,6,3,210, CENAC,845000
1274,maison,4,3,97, ST CIERS DE CANESSE,233500
1275,maison,1850,8,261, AUROS,420000
1276,maison,1990,6,203, AMBARES ET LAGRAVE,520000
1277,maison,1900,4,120, LAPOUYADE,212000
1278,appartement,1,1,24, PESSAC,136000
1279,maison,1960,5,137, MERIGNAC,449000
1280,maison,1960,5,137, MERIGNAC,490000
1281,appartement,2006,3,64, LA TESTE DE BUCH,219000
1282,appartement,3,2,81, BORDEAUX,455000
1283,maison,3,2,51, ST MEDARD EN JALLES,220400
1284,maison,1992,3,40, LACANAU OCEAN                   ,267000
1285,maison,1980,6,144, ST YZANS DE MEDOC,285000
1286,maison,1900,5,155, LESPARRE MEDOC,119000
1287,maison,11,6,289, CASTILLON LA BATAILLE,577500
1288,maison,2004,4,100, GUJAN MESTRAS,330000
1289,appartement,1900,3,117, BORDEAUX,539000
1290,maison,1935,5,118, BORDEAUX,460000
1291,maison,1900,4,115, BORDEAUX,535600
1292,maison,5,3,109, BARON,252000
1293,maison,5,3,92, BLAYE,170500
1294,maison,2008,4,107, LANTON,449000
1295,maison,1850,7,211, LANGON,264000
1296,maison,1983,5,111, LANTON,375000
1297,maison,1930,7,160, BORDEAUX,728000
1298,maison,1930,6,150, BORDEAUX,599900
1299,maison,5,3,90, BORDEAUX,339000
1300,maison,6,4,190, GUJAN MESTRAS,661500
1301,maison,5,3,106, LANGON,202500
1302,maison,5,3,134, LANDIRAS,289000
1303,appartement,3,2,71, MERIGNAC,375000
1304,appartement,2,1,27, BORDEAUX,114800
1305,maison,7,4,250, ARCACHON,2580000
1306,maison,1970,7,150, ARCACHON,1398000
1307,maison,1955,6,200, BORDEAUX,1255000
1308,maison,5,3,117, CARBON BLANC,323168
1309,maison,2007,7,162, MONSEGUR,277000
1310,maison,2015,3,67, MERIGNAC,298870
1311,appartement,1987,3,64, BORDEAUX,285000
1312,maison,2006,4,90, LA TESTE DE BUCH,370000
1313,appartement,1900,2,43, BORDEAUX,241000
1314,appartement,3,2,65, PESSAC,312000
1315,maison,4,1,110, MERIGNAC,445000
1316,appartement,1900,3,132, BORDEAUX,430500
1317,appartement,2021,2,48, BIGANOS,198000
1318,appartement,2016,3,67, BORDEAUX,344800
1319,maison,1900,5,140, LUDON MEDOC,420000
1320,maison,8,4,260, LE BOUSCAT,1560000
1321,maison,1900,11,300, BORDEAUX,1207000
1322,maison,10,6,365, LA SAUVE,689000
1323,appartement,1970,4,72, ANDERNOS LES BAINS,252000
1324,appartement,5,3,140, BORDEAUX,594000
1325,appartement,4,2,101, BORDEAUX,420000
1326,maison,1964,3,70, EYSINES,315000
1327,maison,4,3,106, AMBARES ET LAGRAVE,270000
1328,appartement,2,1,48, LE BOUSCAT,217500
1329,maison,2006,5,140, SAUMOS,375000
1330,appartement,1790,4,107, BORDEAUX,619000
1331,maison,1970,6,207, BORDEAUX,1155000
1332,maison,1880,8,290, BLAYE,297000
1333,maison,8,5,256, ST GERMAIN DU PUCH,242000
1334,maison,1880,5,131, BORDEAUX,710000
1335,maison,8,4,250, ST SULPICE ET CAMEYRAC,1240000
1336,maison,1992,6,130, LE BOUSCAT,575000
1337,appartement,1960,3,82, BORDEAUX,455000
1338,appartement,2,1,47, ANDERNOS LES BAINS,240075
1339,appartement,2,1,36, BLAYE,48000
1340,maison,5,3,131, PLASSAC,162750
1341,maison,1900,7,167, BORDEAUX,815000
1342,appartement,3,2,62, VILLENAVE D ORNON,255900
1343,maison,5,4,120, SADIRAC,398000
1344,maison,3,2,50, GUJAN MESTRAS,190000
1345,appartement,3,2,78, LE BOUSCAT,520000
1346,maison,1920,6,120, ST DENIS DE PILE,169000
1347,maison,1900,8,260, BRANNE,530000
1348,maison,1990,4,90, MONPRIMBLANC,232000
1349,maison,4,3,112, LANGON,265000
1350,maison,6,4,175, ST SULPICE ET CAMEYRAC,640000
1351,maison,2000,6,224, CAZAUX                          ,460000
1352,maison,1975,5,94, BORDEAUX,385000
1353,maison,1974,7,150, LORMONT,460000
1354,maison,4,3,80, GOUALADE,65000
1355,maison,5,4,300, ST CIERS D ABZAC,365000
1356,maison,1850,6,133, CASTETS EN DORTHE,130000
1357,maison,1850,6,187, LANGON,222000
1358,maison,5,3,250, MIOS,579000
1359,maison,1986,5,95, CADILLAC,300000
1360,maison,10,6,289, LISTRAC DE DUREZE,443500
1361,appartement,1975,3,44, ARCACHON,318000
1362,maison,3,2,85, LEGE CAP FERRET,1152250
1363,maison,10,5,250, MARTIGNAS SUR JALLE,690000
1364,appartement,1973,4,94, BORDEAUX,425000
1365,maison,4,2,54, SOULAC SUR MER,142700
1366,maison,1992,3,42, LACANAU OCEAN                   ,262000
1367,appartement,3,2,75, BORDEAUX,840000
1368,maison,5,4,145, MERIGNAC,650000
1369,maison,4,3,124, MIOS,464000
1370,appartement,2,1,42, EYSINES,139100
1371,maison,1900,7,320, ST DENIS DE PILE,299000
1372,maison,1954,5,157, BORDEAUX,760000
1373,maison,1981,6,130, CASTILLON LA BATAILLE,159000
1374,appartement,4,2,89, BORDEAUX,549000
1375,maison,3,3,80, GUJAN MESTRAS,364500
1376,maison,3,2,72, GUJAN MESTRAS,333000
1377,maison,3,2,72, GUJAN MESTRAS,338500
1378,maison,7,4,204, BELIN BELIET,779625
1379,maison,1873,7,320, CREON,499500
1380,maison,1750,10,370, ST ANDRE DE CUBZAC,525000
1381,maison,4,2,60, CASTILLON LA BATAILLE,108000
1382,maison,3,2,72, TOULENNE,170000
1383,maison,1984,8,154, BLANQUEFORT,475000
1384,maison,1978,5,110, ST EMILION,265000
1385,maison,2007,6,120, CENON,504000
1386,maison,1900,12,318, ST CHRISTOLY DE BLAYE,140000
1387,maison,2003,3,43, SOULAC SUR MER,111600
1388,maison,1950,4,104, SOULAC SUR MER,336600
1389,maison,1980,8,167, LACANAU OCEAN                   ,490000
1390,maison,1990,6,149, LE HAILLAN,547000
1391,maison,2005,5,150, SOULAC SUR MER,388500
1392,appartement,4,3,77, BORDEAUX,333500
1393,appartement,4,3,137, BORDEAUX,819000
1394,maison,8,5,199, PUGNAC,265500
1395,maison,5,4,120, LE BOUSCAT,648900
1396,appartement,3,2,54, BORDEAUX,234000
1397,maison,4,3,100, SALLES,265500
1398,maison,5,4,140, AUDENGE,533000
1399,maison,7,5,273, SALLES,381000
1400,maison,4,3,110, BIGANOS,357500
1401,maison,7,5,180, ST SULPICE ET CAMEYRAC,399500
1402,maison,9,4,391, IZON,599000
1403,maison,5,4,280, STE EULALIE,548500
1404,maison,9,6,220, TALENCE,871500
1405,maison,12,5,180, BEGLES,682500
1406,maison,6,4,163, MERIGNAC,661500
1407,maison,3,2,76, ARES,318000
1408,maison,1900,3,66, LIBOURNE,202000
1409,maison,18,13,400, LIBOURNE,945000
1410,appartement,1880,5,145, BORDEAUX,785000
1411,maison,1800,6,260, JAU DIGNAC ET LOIRAC,378200
1412,maison,1850,8,340, ST ANDRE DE CUBZAC,349000
1413,maison,1978,8,315, BORDEAUX,910000
1414,maison,19,12,715, BORDEAUX,840000
1415,maison,2012,5,102, ST CAPRAIS DE BORDEAUX,287000
1416,maison,5,2,152, BLAYE,241500
1417,maison,5,2,152, TEUILLAC,241500
1418,maison,5,3,136, FRONSAC,269000
1419,appartement,3,2,67, BORDEAUX,255000
1420,appartement,3,2,62, PESSAC,205000
1421,maison,6,4,230, HAUX,423000
1422,appartement,1,1,41, BORDEAUX,165000
1423,maison,4,3,80, SALLES,247000
1424,appartement,2009,2,39, PAREMPUYRE,140000
1425,maison,5,4,130, ST GERMAIN DU PUCH,328000
1426,appartement,1900,2,53, BORDEAUX,272000
1427,appartement,2,1,55, BORDEAUX,272000
1428,maison,1990,6,160, AMBARES ET LAGRAVE,518000
1429,appartement,4,3,97, BORDEAUX,402000
1430,appartement,1900,2,79, BORDEAUX,325000
1431,maison,1980,6,133, LANTON,367500
1432,maison,1960,4,94, SOULAC SUR MER,199200
1433,maison,1958,6,156, ST VIVIEN DE MEDOC,264500
1434,maison,1941,6,165, BORDEAUX,832000
1435,maison,9,3,326, PREIGNAC,99000
1436,appartement,2020,4,94, BORDEAUX,420000
1437,appartement,2021,3,67, PESSAC,316000
1438,appartement,2020,4,89, BORDEAUX,525000
1439,appartement,1,1,22, SALIGNAC,71000
1440,maison,8,5,160, BLAYE,81000
1441,maison,6,4,190, TEUILLAC,137800
1442,appartement,1,2,27, BORDEAUX,160500
1443,appartement,3,2,84, BORDEAUX,339000
1444,appartement,2,1,44, PAREMPUYRE,181500
1445,maison,6,3,115, ANDERNOS LES BAINS,574000
1446,appartement,1,1,27, CARCANS,80000
1447,maison,5,3,110, CREON,370500
1448,maison,4,3,112, MERIGNAC,499500
1449,maison,1975,8,232, CUDOS,214000
1450,maison,3,2,58, LE BOUSCAT,250000
1451,maison,1900,4,239, LIBOURNE,126000
1452,maison,1880,11,290, ST EMILION,441000
1453,maison,2018,6,177, ST GENES DE FRONSAC,546000
1454,appartement,1,2,20, BORDEAUX,125000
1455,maison,2,1,62, BORDEAUX,347000
1456,maison,3,2,50, MERIGNAC,370000
1457,appartement,3,2,77, BORDEAUX,520000
1458,appartement,3,2,64, BORDEAUX,541000
1459,maison,2009,5,165, BRUGES,790000
1460,maison,2017,4,112, GUJAN MESTRAS,460000
1461,maison,10,6,400, MAZERES,456500
1462,appartement,1,2,18, CENON,57900
1463,appartement,2,1,48, ARCACHON,189000
1464,maison,2014,4,116, ARCACHON,890000
1465,maison,1930,3,151, OMET,230000
1466,maison,2021,4,84, EYSINES,405000
1467,maison,9,5,316, LIBOURNE,610000
1468,maison,6,3,102, ANDERNOS LES BAINS,423000
1469,maison,4,3,80, PUJOLS SUR CIRON,180000
1470,maison,4,3,105, NAUJAC SUR MER,285000
1471,appartement,2017,3,77, BORDEAUX,520000
1472,appartement,5,4,117, BORDEAUX,450000
1473,maison,2007,7,205, LIBOURNE,404000
1474,appartement,6,5,133, PESSAC,432000
1475,appartement,1968,3,58, BORDEAUX,227000
1476,maison,2008,5,100, PAREMPUYRE,377000
1477,appartement,1900,2,42, BORDEAUX,285000
1478,appartement,1930,3,63, BORDEAUX,263000
1479,maison,1983,6,200, ST JEAN D ILLAC,647900
1480,maison,4,3,118, LOUPIAC,245000
1481,maison,1930,8,143, ARES,813700
1482,maison,5,3,129, MERIGNAC,475500
1483,appartement,1,1,22, ARCACHON,150000
1484,appartement,3,2,55, AUDENGE,199000
1485,maison,4,3,127, BELIN BELIET,326000
1486,maison,6,4,223, LANGON,396500
1487,maison,5,4,135, EYSINES,444000
1488,maison,4,2,75, TALENCE,367000
1489,appartement,2010,4,110, BORDEAUX,595000
1490,maison,1997,5,138, LA TESTE DE BUCH,689605
1491,maison,1950,5,160, BORDEAUX,892000
1492,maison,1983,5,133, BIGANOS,496500
1493,maison,6,4,200, ST SULPICE DE FALEYRENS,558000
1494,maison,16,12,560, PINEUILH,1680000
1495,maison,7,4,206, BEGLES,988000
1496,maison,9,6,220, LE HAILLAN,775000
1497,maison,1900,4,116, ANDERNOS LES BAINS,522500
1498,appartement,1,1,27, MARCHEPRIME,123500
1499,maison,4,3,105, GUJAN MESTRAS,280000
1500,appartement,1976,1,20, ARCACHON,180000
1501,maison,2020,5,172, LA TESTE DE BUCH,1020000
1502,appartement,1900,5,165, BORDEAUX,1100000
1503,maison,1900,3,73, ST CHRISTOLY MEDOC,108000
1504,maison,1980,5,118, HOURTIN,367800
1505,appartement,2020,4,85, GRADIGNAN,376000
1506,maison,2008,8,220, SOULAC SUR MER,549000
1507,appartement,1990,1,44, TALENCE,147660
1508,maison,1300,11,264, LA REOLE,163000
1509,maison,1939,11,230, LIBOURNE,452000
1510,maison,1985,8,216, STE EULALIE,439000
1511,maison,4,3,150, ST MACAIRE,199000
1512,maison,1993,3,61, GUJAN MESTRAS,230000
1513,appartement,5,3,132, BORDEAUX,661000
1514,maison,2010,5,145, EYSINES,749000
1515,maison,2016,4,107, CAVIGNAC,218138
1516,maison,1952,8,210, PYLA SUR MER,2100000
1517,maison,2019,4,89, ANDERNOS LES BAINS,360000
1518,maison,2019,4,87, ANDERNOS LES BAINS,337000
1519,maison,1890,9,200, BORDEAUX,836000
1520,maison,3,1,40, RAUZAN,28500
1521,maison,8,5,320, ST GERVAIS,694900
1522,maison,1901,5,151, PUGNAC,160650
1523,maison,5,2,308, BLAYE,220500
1524,maison,7,5,224, BLAYE,367500
1525,maison,8,5,320, ST ANDRE DE CUBZAC,694900
1526,maison,5,2,308, GENERAC,220500
1527,maison,5,2,308, PUGNAC,220500
1528,maison,4,3,126, LE HAILLAN,381000
1529,maison,4,3,98, ST JEAN D ILLAC,433500
1530,maison,5,4,166, BORDEAUX,630000
1531,maison,5,3,89, LANTON,475500
1532,maison,4,2,89, GUJAN MESTRAS,318000
1533,maison,6,4,185, LE BOUSCAT,891000
1534,maison,3,2,80, SALLES,297000
1535,maison,3,2,88, BIGANOS,320000
1536,maison,9,4,166, LANDIRAS,300000
1537,appartement,1,3,24, GRADIGNAN,98000
1538,maison,8,4,276, TALENCE,1570000
1539,maison,4,3,79, CREON,286500
1540,appartement,2003,3,70, BRUGES,224000
1541,appartement,2017,2,79, BORDEAUX,395000
1542,appartement,2009,2,32, MERIGNAC,85000
1543,maison,1992,5,106, BORDEAUX,465025
1544,maison,2020,5,90, LE HAILLAN,420000
1545,maison,1989,7,180, ST SULPICE ET CAMEYRAC,392000
1546,maison,1975,6,133, MONTUSSAN,399000
1547,maison,3,2,116, ST LOUBES,238500
1548,maison,6,4,215, ARTIGUES PRES BORDEAUX,750000
1549,maison,5,4,190, ST SULPICE ET CAMEYRAC,439000
1550,maison,2015,3,78, ST SULPICE ET CAMEYRAC,275000
1551,maison,5,3,110, PESSAC,324400
1552,maison,8,4,213, ST SEURIN DE CURSAC,349000
1553,maison,7,5,226, NEAC,370000
1554,appartement,2,1,33, BORDEAUX,70000
1555,appartement,2000,2,30, LACANAU OCEAN                   ,105000
1556,maison,1850,5,128, ST ANDRE DE CUBZAC,119000
1557,maison,1900,8,377, ETAULIERS,184000
1558,maison,1900,5,175, ST LAURENT MEDOC,240000
1559,maison,1930,5,110, TALENCE,485000
1560,maison,1976,4,94, AMBARES ET LAGRAVE,287550
1561,maison,1980,6,150, MERIGNAC,574900
1562,maison,5,3,122, BOURG,283500
1563,maison,5,3,122, BLAYE,283500
1564,maison,1988,6,145, SALLES,399000
1565,maison,4,3,125, LANTON,430000
1566,maison,1915,5,155, LUDON MEDOC,364000
1567,maison,5,4,92, LE BOUSCAT,420000
1568,appartement,1900,3,75, BORDEAUX,249000
1569,appartement,1900,3,60, BORDEAUX,179000
1570,maison,1983,6,155, GUITRES,210000
1571,maison,1980,3,60, GUITRES,118000
1572,maison,4,3,160, ST SULPICE ET CAMEYRAC,286900
1573,maison,7,5,139, CAP FERRET                      ,1300000
1574,appartement,2015,2,40, MERIGNAC,155000
1575,appartement,1949,1,25, BORDEAUX,128750
1576,appartement,2,1,57, MERIGNAC,196500
1577,appartement,2,1,48, BORDEAUX,195000
1578,maison,3,2,60, GENSAC,124000
1579,maison,7,5,220, AMBARES ET LAGRAVE,624000
1580,maison,6,4,290, LIBOURNE,465000
1581,appartement,1977,3,44, LACANAU OCEAN                   ,195000
1582,maison,5,3,139, BORDEAUX,795000
1583,appartement,3,2,57, LIBOURNE,101000
1584,appartement,1900,1,38, BORDEAUX,191700
1585,appartement,7,1,129, BORDEAUX,579000
1586,appartement,3,2,69, LE BOUSCAT,409000
1587,maison,4,3,113, BEYCHAC ET CAILLAU,339000
1588,maison,6,3,189, BAURECH,600000
1589,maison,2019,4,84, BORDEAUX,485000
1590,maison,2019,4,89, BORDEAUX,510000
1591,maison,4,1,110, PUJOLS SUR CIRON,70000
1592,maison,1948,3,93, AMBARES ET LAGRAVE,196400
1593,appartement,2,1,55, BORDEAUX,298500
1594,maison,1930,3,72, BORDEAUX,273000
1595,appartement,2,1,46, BIGANOS,173000
1596,appartement,3,2,66, BIGANOS,235000
1597,appartement,4,3,97, BIGANOS,290000
1598,maison,1900,6,220, BORDEAUX,735000
1599,appartement,2019,2,33, LATRESNE,179360
1600,maison,2009,4,85, MIOS,286000
1601,maison,2017,5,140, GRAYAN ET L HOPITAL,436800
1602,appartement,1970,4,99, BORDEAUX,546000
1603,maison,1927,9,220, NAUJAC SUR MER,368000
1604,maison,1995,7,164, MERIGNAC,515000
1605,maison,1900,8,210, ST EMILION,477000
1606,maison,6,4,178, BARSAC,274000
1607,appartement,1959,5,91, BORDEAUX,274300
1608,appartement,2,1,54, BORDEAUX,199900
1609,maison,8,4,249, ARES,1200000
1610,maison,7,5,230, ANDERNOS LES BAINS,1837500
1611,maison,1992,8,200, AUDENGE,378000
1612,maison,1960,6,115, MERIGNAC,370000
1613,maison,1793,5,298, IZON,548625
1614,maison,2003,9,195, MERIGNAC,855000
1615,maison,1900,4,103, GRADIGNAN,274300
1616,maison,1973,6,127, GRADIGNAN,347000
1617,maison,2017,5,110, VILLENAVE D ORNON,433675
1618,maison,1800,7,170, GRADIGNAN,606100
1619,maison,1965,5,105, GRADIGNAN,335000
1620,maison,1955,3,75, GRADIGNAN,315000
1621,maison,1958,4,81, CENON,298200
1622,maison,1988,5,112, SOULAC SUR MER,357400
1623,maison,1800,8,145, LA REOLE,145000
1624,maison,4,2,183, ST GERMAIN DE GRAVE,304000
1625,maison,6,3,157, PONDAURAT,247000
1626,maison,7,4,194, ST GERMAIN DE GRAVE,231000
1627,maison,4,3,100, PODENSAC,113000
1628,maison,2018,6,210, SALLES,583300
1629,maison,1960,8,245, ARCACHON,1463000
1630,maison,2009,2,42, GRIGNOLS,72000
1631,maison,1900,4,117, ANDERNOS LES BAINS,522500
1632,maison,4,3,110, CARIGNAN DE BORDEAUX,349500
1633,maison,4,3,140, COUTRAS,181500
1634,maison,7,3,177, GUILLAC,360000
1635,appartement,2020,2,48, GRADIGNAN,233000
1636,maison,1900,5,140, BORDEAUX,687000
1637,maison,1900,7,150, BORDEAUX,770000
1638,maison,2012,4,96, LACANAU,288000
1639,appartement,1975,3,45, ARCACHON,275600
1640,maison,12,8,475, ST ANDRE DE CUBZAC,1000000
1641,maison,1928,8,300, MIOS,618800
1642,maison,2007,5,131, AUDENGE,405000
1643,appartement,1880,5,131, BORDEAUX,703000
1644,maison,1900,10,297, ST EMILION,282000
1645,appartement,3,2,84, ANDERNOS LES BAINS,256900
1646,maison,1985,6,143, BRANNE,255000
1647,maison,1985,9,237, BRANNE,389000
1648,maison,1985,6,143, ST JEAN DE BLAIGNAC,245000
1649,maison,1985,9,237, BRANNE,389000
1650,maison,1850,5,190, LA REOLE,175000
1651,maison,1979,4,105, GUJAN MESTRAS,428000
1652,appartement,3,2,69, BORDEAUX,375000
1653,appartement,3,2,57, BORDEAUX,325000
1654,maison,3,2,73, BORDEAUX,510000
1655,maison,1480,7,280, ST EMILION,533000
1656,appartement,1900,8,191, BORDEAUX,1060000
1657,maison,4,3,116, PELLEGRUE,59000
1658,maison,1990,6,188, PESSAC,620000
1659,appartement,2,1,37, BORDEAUX,210000
1660,maison,1960,6,125, GIRONDE SUR DROPT,159500
1661,maison,1900,5,145, BORDEAUX,780000
1662,maison,4,3,170, GUITRES,89000
1663,appartement,2,1,45, LANGON,75000
1664,maison,1960,4,90, ARCACHON,880000
1665,appartement,1970,4,108, GUJAN MESTRAS,275000
1666,maison,2006,4,80, FLOIRAC,252000
1667,maison,1800,13,350, ST EMILION,653000
1668,maison,1986,3,70, ST ANDRE DE CUBZAC,182000
1669,maison,1920,5,90, MERIGNAC,290000
1670,maison,1900,2,40, BORDEAUX,257000
1671,appartement,2009,2,32, CAMBES,84000
1672,maison,6,4,200, LANGOIRAN,490000
1673,appartement,1998,3,46, LA TESTE DE BUCH,202000
1674,maison,3,1,350, MARANSIN,66000
1675,maison,8,5,295, PUGNAC,386650
1676,maison,4,3,106, CAMBLANES ET MEYNAC,360000
1677,maison,7,5,145, CAMBLANES ET MEYNAC,558500
1678,maison,6,4,170, BORDEAUX,882000
1679,maison,3,2,62, PAREMPUYRE,252427
1680,maison,5,3,150, SOUSSANS,291500
1681,maison,5,4,93, PEUJARD,234000
1682,maison,6,4,130, LANTON,475500
1683,appartement,3,2,67, ARCACHON,290000
1684,maison,4,3,107, BIGANOS,375500
1685,appartement,3,2,62, TALENCE,280000
1686,appartement,4,3,98, BORDEAUX,433500
1687,maison,6,4,162, ST SEURIN SUR L ISLE,234000
1688,maison,1900,4,130, MONTAGNE,295000
1689,appartement,1970,4,68, BORDEAUX,200000
1690,appartement,1975,2,51, ARCACHON,349000
1691,maison,1975,8,250, ANDERNOS LES BAINS,637000
1692,maison,1966,5,85, NERIGEAN,254000
1693,maison,4,3,91, LE BOUSCAT,347000
1694,maison,5,4,155, LE PIAN MEDOC,451500
1695,appartement,1300,2,44, LATRESNE,204000
1696,maison,10,8,179, LEGE CAP FERRET,491000
1697,appartement,1900,3,61, BORDEAUX,252000
1698,appartement,1900,3,54, BORDEAUX,209000
1699,appartement,2,1,36, LE TAILLAN MEDOC,179801
1700,appartement,3,2,66, BORDEAUX,298000
1701,maison,1980,5,130, ST MEDARD EN JALLES,445000
1702,maison,2007,8,330, EYSINES,1575000
1703,maison,5,4,80, MERIGNAC,274500
1704,maison,1940,6,130, ARCACHON,1100000
1705,maison,8,5,270, PESSAC,1197000
1706,maison,2008,6,215, TRESSES,750000
1707,maison,1900,5,130, CAVIGNAC,192600
1708,maison,1800,7,318, LANGON,472500
1709,appartement,3,2,67, BORDEAUX,271000
1710,appartement,1974,2,49, BORDEAUX,224600
1711,maison,4,3,124, LAGORCE,202000
1712,maison,5,4,121, VILLENAVE D ORNON,398000
1713,appartement,2,1,44, GUJAN MESTRAS,194000
1714,maison,1980,7,180, ANDERNOS LES BAINS,490000
1715,maison,1986,6,108, LANGON,181000
1716,maison,2000,4,81, ARES,347750
1717,appartement,2022,3,55, EYSINES,193000
1718,appartement,2022,2,45, EYSINES,169000
1719,appartement,2021,2,39, ST JEAN D ILLAC,147400
1720,appartement,2021,4,85, LE BOUSCAT,550000
1721,appartement,2021,3,65, LORMONT,218300
1722,appartement,1900,4,129, BORDEAUX,625000
1723,appartement,2008,3,62, ST ANDRE DE CUBZAC,149000
1724,maison,3,2,68, ETAULIERS,56000
1725,maison,7,3,224, TEUILLAC,283500
1726,maison,7,3,224, BLAYE,283500
1727,maison,12,6,500, BORDEAUX,2200000
1728,appartement,2,1,50, BORDEAUX,171000
1729,maison,7,4,133, PESSAC,407000
1730,appartement,3,2,68, BLANQUEFORT,282500
1731,maison,4,3,91, GUJAN MESTRAS,423000
1732,maison,5,3,140, LE BOUSCAT,599500
1733,maison,5,4,125, TOULENNE,197000
1734,maison,1952,5,125, LIBOURNE,199000
1735,maison,1880,2,750, LIBOURNE,420000
1736,maison,2003,6,137, ST QUENTIN DE BARON,399000
1737,appartement,1920,1,23, BORDEAUX,99000
1738,maison,2003,4,118, SALLES,399900
1739,maison,2017,4,95, LA TESTE DE BUCH,439000
1740,maison,2017,4,95, CAZAUX                          ,439000
1741,maison,1996,6,157, ANDERNOS LES BAINS,627000
1742,maison,1878,9,317, SAMONAC,485000
1743,maison,1895,6,210, CAMPUGNAN,299500
1744,maison,1878,9,317, SAMONAC,485000
1745,appartement,2018,3,64, LA TESTE DE BUCH,278000
1746,appartement,2018,3,78, LA TESTE DE BUCH,325000
1747,appartement,2018,2,45, LA TESTE DE BUCH,199000
1748,appartement,2008,3,60, CAMBES,121800
