,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1039,2121,maison,1920.0,7,230, LUDON MEDOC,383000
1040,2122,maison,1930.0,3,89, LUDON MEDOC,220500
1041,2124,maison,1970.0,4,75, LE TAILLAN MEDOC,260000
1042,2125,maison,1750.0,10,550, BORDEAUX,577000
1043,2126,maison,1900.0,7,135, BARSAC,115000
1044,2127,maison,1900.0,3,120, BORDEAUX,432600
1045,2128,maison,1920.0,7,134, TALENCE,633000
1046,2129,maison,1986.0,3,100, BORDEAUX,399900
1047,2131,maison,2005.0,6,150, TIZAC DE CURTON,344000
1048,2136,appartement,1900.0,4,106, BORDEAUX,549000
1049,2137,appartement,1900.0,3,99, BORDEAUX,650000
1050,2138,appartement,1970.0,3,71, TALENCE,262750
1051,2141,maison,2003.0,3,43, SOULAC SUR MER,111600
1052,2142,maison,1978.0,6,128, VENDAYS MONTALIVET,378200
1053,2143,appartement,1882.0,6,163, ARCACHON,1535000
1054,2144,maison,1950.0,4,74, ARCACHON,840000
1055,2148,maison,2019.0,4,116, EYSINES,575000
1056,2149,maison,2019.0,5,132, EYSINES,640000
1057,2150,maison,2019.0,5,144, EYSINES,680000
1058,2151,appartement,2005.0,4,82, BORDEAUX,328000
1059,2152,appartement,2005.0,4,82, BORDEAUX,328000
1060,2153,maison,1920.0,5,107, BORDEAUX,378000
1061,2154,appartement,1930.0,6,201, BORDEAUX,735000
1062,2155,maison,2004.0,6,220, LUGOS,634400
1063,2158,maison,1900.0,10,385, BORDEAUX,645000
1064,2159,maison,1900.0,5,105, BORDEAUX,766000
1065,2164,maison,1880.0,5,120, BORDEAUX,529890
1066,2166,maison,2002.0,5,231, LA TESTE DE BUCH,728000
1067,2167,maison,1850.0,10,294, BORDEAUX,1590000
1068,2168,maison,1907.0,6,132, BORDEAUX,525000
1069,2170,maison,2021.0,4,88, BEGLES,465000
1070,2171,maison,1850.0,3,87, ST MACAIRE,183000
1071,2172,appartement,1980.0,3,61, BORDEAUX,360000
1072,2173,appartement,1800.0,7,191, LIBOURNE,360000
1073,2174,appartement,1975.0,2,55, BORDEAUX,128400
1074,2179,maison,1967.0,6,171, LE PORGE,330000
1075,2180,appartement,1978.0,4,77, BORDEAUX,350000
1076,2181,appartement,1978.0,4,77, BORDEAUX,350000
1077,2182,appartement,2020.0,2,45, FLOIRAC,199200
1078,2185,appartement,2020.0,2,47, FLOIRAC,218210
1079,2186,appartement,2020.0,2,55, AUDENGE,172000
1080,2187,appartement,2021.0,3,63, BRUGES,269900
1081,2189,appartement,1970.0,3,93, BORDEAUX,510000
1082,2193,maison,1900.0,9,526, ST EMILION,672000
1083,2195,maison,1960.0,4,137, TALENCE,370000
1084,2196,maison,1900.0,7,200, BORDEAUX,1155000
1085,2197,maison,1995.0,5,145, LACANAU OCEAN                   ,1040000
1086,2199,maison,1830.0,6,163, LANGON,202000
1087,2200,maison,1930.0,5,140, LANTON,572000
1088,2201,appartement,2008.0,3,60, ST ANDRE DE CUBZAC,137800
1089,2202,maison,1909.0,7,129, ST CIERS SUR GIRONDE,178500
1090,2204,maison,2010.0,5,180, LA TESTE DE BUCH,1035000
1091,2205,maison,1900.0,10,320, LIBOURNE,884000
1092,2206,maison,1830.0,7,286, BOURG,493500
1093,2207,maison,1900.0,6,113, BLAYE,71500
1094,2209,maison,1830.0,7,286, BOURG,493500
1095,2210,maison,1900.0,6,113, BLAYE,71500
1096,2214,appartement,1993.0,5,103, BORDEAUX,530000
1097,2216,maison,1970.0,3,82, GUJAN MESTRAS,299000
1098,2217,maison,1976.0,7,266, LE TEMPLE,545900
1099,2219,maison,2005.0,5,153, LE TAILLAN MEDOC,640500
1100,2224,maison,1900.0,7,210, BORDEAUX,924000
1101,2225,maison,1986.0,5,132, LANTON,499000
1102,2226,maison,1945.0,4,140, LA TESTE DE BUCH,419000
1103,2227,maison,1970.0,5,103, SALLES,319000
1104,2230,maison,1980.0,5,130, ST MEDARD EN JALLES,445000
1105,2231,appartement,1920.0,2,42, BORDEAUX,199000
1106,2232,appartement,2002.0,3,60, LA TESTE DE BUCH,262000
1107,2244,maison,1970.0,3,62, VENSAC,177600
1108,2245,maison,1900.0,4,100, LE BOUSCAT,371000
1109,2246,maison,1920.0,9,280, ARCACHON,2625000
1110,2247,appartement,1850.0,2,58, BORDEAUX,312000
1111,2249,maison,2004.0,6,168, ST MARTIN DE LAYE,275000
1112,2250,maison,1960.0,3,78, AUDENGE,254400
1113,2251,maison,2014.0,6,155, BONZAC,525000
1114,2252,maison,1900.0,8,225, BORDEAUX,1195000
